,circuity_avg,clean_intersection_count,clean_intersection_density_km,edge_density_km,edge_length_avg,edge_length_total,intersection_count,intersection_density_km,k_avg,m,n,node_density_km,self_loop_proportion,street_density_km,street_length_avg,street_length_total,street_segments_count,streets_per_node_avg,streets_per_node_counts,streets_per_node_proportion
72,1.0458815017886505,24,148.66896190355382,38695.06803559072,76.17854878048779,6246.640999999999,33,204.4198226173865,4.555555555555555,82,36,223.00344285533075,0.0,21279.849558326678,76.33908888888887,3435.258999999999,45,3.0,"{0: 0, 1: 3, 2: 0, 3: 27, 4: 6}","{0: 0.0, 1: 0.08333333333333333, 2: 0.0, 3: 0.75, 4: 0.16666666666666666}"
73,1.0168989676822617,31,188.16602172027604,46369.51600753256,67.01132456140351,7639.291000000001,43,261.00448174102803,4.75,114,48,291.35384008300804,0.0,25087.580828540904,65.60526984126984,4133.1320000000005,63,3.0208333333333335,"{0: 0, 1: 5, 2: 0, 3: 34, 4: 7, 5: 2}","{0: 0.0, 1: 0.10416666666666667, 2: 0.0, 3: 0.7083333333333334, 4: 0.14583333333333334, 5: 0.041666666666666664}"
74,1.0076511747731043,19,134.9973418221707,32477.106295964037,66.24553623188406,4570.942,25,177.6280813449615,4.3125,69,32,227.3639441215507,0.0,16779.949329674957,65.60191666666668,2361.6690000000003,36,2.65625,"{0: 0, 1: 7, 2: 0, 3: 23, 4: 1, 5: 1}","{0: 0.0, 1: 0.21875, 2: 0.0, 3: 0.71875, 4: 0.03125, 5: 0.03125}"
75,1.015823226335815,22,140.05354850026845,35050.47585113814,84.70501538461538,5505.826,25,159.15175965939596,5.2,65,25,159.15175965939596,0.0,17944.577347990027,85.41769696969695,2818.783999999999,33,3.44,"{0: 0, 1: 0, 2: 0, 3: 14, 4: 11}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.56, 4: 0.44}"
76,1.0183626452277537,37,197.1360300024323,36947.68762312481,75.37635869565221,6934.625000000004,39,207.7920316241854,4.380952380952381,92,42,223.77603405681504,0.0,20577.836699772273,74.27319230769231,3862.206,52,3.0714285714285716,"{0: 0, 1: 3, 2: 0, 3: 30, 4: 9}","{0: 0.0, 1: 0.07142857142857142, 2: 0.0, 3: 0.7142857142857143, 4: 0.21428571428571427}"
77,1.0463353147373122,12,166.53796265836115,41678.99793511073,103.55886206896551,3003.207,14,194.294289768088,3.8666666666666667,29,15,208.17245332295144,0.0,24405.749839003292,103.4454117647059,1758.5720000000001,17,3.0,"{0: 0, 1: 1, 2: 0, 3: 12, 4: 2}","{0: 0.0, 1: 0.06666666666666667, 2: 0.0, 3: 0.8, 4: 0.13333333333333333}"
78,1.0793193079775427,51,131.74604252094122,40373.85630541761,69.46248444444441,15629.058999999994,75,193.74418017785473,4.591836734693878,225,98,253.15906209906353,0.0,21546.91800872301,70.09237815126052,8340.993000000002,119,2.7142857142857144,"{0: 0, 1: 23, 2: 0, 3: 58, 4: 16, 5: 1}","{0: 0.0, 1: 0.23469387755102042, 2: 0.0, 3: 0.5918367346938775, 4: 0.16326530612244897, 5: 0.01020408163265306}"
79,1.0368072640105066,59,98.34210294029553,31729.481126992207,67.50351418439719,19035.99100000001,98,163.34789979913495,5.035714285714286,282,112,186.68331405615422,0.0,17223.624241256228,70.29423809523809,10333.252999999999,147,2.9017857142857144,"{0: 0, 1: 14, 2: 0, 3: 81, 4: 17}","{0: 0.0, 1: 0.125, 2: 0.0, 3: 0.7232142857142857, 4: 0.15178571428571427}"
80,1.1065409282372836,29,131.27248957660296,38305.787755397774,73.58526086956523,8462.305000000002,42,190.11877800749394,4.181818181818182,115,55,248.96506643838492,0.017391304347826087,23569.590739285482,76.57154411764708,5206.865000000002,68,2.709090909090909,"{0: 0, 1: 13, 2: 0, 3: 32, 4: 10}","{0: 0.0, 1: 0.23636363636363636, 2: 0.0, 3: 0.5818181818181818, 4: 0.18181818181818182}"
81,1.076793191978688,43,40.83818772371882,15129.278768917202,98.33433950617282,15930.162999999999,67,63.63159482532932,3.7241379310344827,162,87,82.62610074333807,0.0,10692.27330432998,107.2217142857143,11258.28,105,2.6091954022988504,"{0: 0, 1: 20, 2: 0, 3: 61, 4: 6}","{0: 0.0, 1: 0.22988505747126436, 2: 0.0, 3: 0.7011494252873564, 4: 0.06896551724137931}"
