Ward,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
67,3253,12909,6018,6891,876,439,437,489,217,272,65,28,37,11370,5345,6025,1539,673,866,5022,3305,1717,4696,3170,1526,16,13,3,10,8,2,219,130,89,4451,3019,1432,326,135,191,4,2,2,2,0,2,42,13,29,278,120,158,284,122,162,3,1,2,2,0,2,35,12,23,244,109,135,42,13,29,1,1,0,0,0,0,7,1,6,34,11,23,7887,2713,5174
68,3098,12659,6232,6427,928,490,438,1381,670,711,86,40,46,10675,5353,5322,1984,879,1105,4981,3286,1695,4690,3146,1544,18,14,4,19,12,7,148,70,78,4505,3050,1455,291,140,151,10,8,2,2,1,1,29,11,18,250,120,130,233,112,121,9,7,2,1,0,1,25,9,16,198,96,102,58,28,30,1,1,0,1,1,0,4,2,2,52,24,28,7678,2946,4732
69,3306,12438,6065,6373,690,361,329,90,43,47,18,9,9,11301,5495,5806,1137,570,567,4930,3285,1645,4779,3211,1568,11,7,4,12,8,4,136,63,73,4620,3133,1487,151,74,77,8,4,4,1,0,1,6,4,2,136,66,70,136,67,69,8,4,4,1,0,1,5,4,1,122,59,63,15,7,8,0,0,0,0,0,0,1,0,1,14,7,7,7508,2780,4728
70,2742,10752,5314,5438,642,351,291,173,89,84,32,15,17,9687,4849,4838,1065,465,600,4170,2983,1187,3969,2871,1098,19,12,7,12,9,3,308,187,121,3630,2663,967,201,112,89,8,5,3,1,0,1,22,6,16,170,101,69,180,98,82,8,5,3,1,0,1,20,6,14,151,87,64,21,14,7,0,0,0,0,0,0,2,0,2,19,14,5,6582,2331,4251
71,2818,12741,6090,6651,962,510,452,489,113,376,27,12,15,10481,5399,5082,2260,691,1569,4520,3503,1017,4278,3403,875,13,9,4,11,10,1,209,125,84,4045,3259,786,242,100,142,14,3,11,3,1,2,21,8,13,204,88,116,197,88,109,13,3,10,3,1,2,14,7,7,167,77,90,45,12,33,1,0,1,0,0,0,7,1,6,37,11,26,8221,2587,5634
72,3380,14871,7506,7365,1162,614,548,288,143,145,133,62,71,12912,6650,6262,1959,856,1103,5473,4169,1304,5324,4081,1243,5,2,3,13,9,4,386,219,167,4920,3851,1069,149,88,61,5,3,2,3,2,1,19,6,13,122,77,45,117,68,49,5,3,2,2,1,1,13,4,9,97,60,37,32,20,12,0,0,0,1,1,0,6,2,4,25,17,8,9398,3337,6061
73,3467,15953,7962,7991,1327,697,630,800,391,409,132,65,67,13854,7034,6820,2099,928,1171,5702,4382,1320,5588,4330,1258,6,4,2,20,12,8,137,77,60,5425,4237,1188,114,52,62,2,1,1,3,1,2,11,2,9,98,48,50,94,42,52,1,1,0,2,0,2,9,2,7,82,39,43,20,10,10,1,0,1,1,1,0,2,0,2,16,9,7,10251,3580,6671
74,3219,15586,7631,7955,1499,761,738,5509,2644,2865,102,60,42,12523,6441,6082,3063,1190,1873,5386,4020,1366,4594,3516,1078,13,6,7,20,15,5,57,36,21,4504,3459,1045,792,504,288,19,8,11,5,4,1,6,6,0,762,486,276,666,421,245,19,8,11,5,4,1,5,5,0,637,404,233,126,83,43,0,0,0,0,0,0,1,1,0,125,82,43,10200,3611,6589
75,3104,15272,7484,7788,1479,788,691,2526,1224,1302,11,3,8,12660,6375,6285,2612,1109,1503,5189,3978,1211,5011,3863,1148,11,8,3,9,5,4,89,62,27,4902,3788,1114,178,115,63,6,3,3,0,0,0,12,5,7,160,107,53,147,90,57,6,3,3,0,0,0,8,1,7,133,86,47,31,25,6,0,0,0,0,0,0,4,4,0,27,21,6,10083,3506,6577
76,3409,17454,8847,8607,2058,1073,985,2621,1285,1336,27,17,10,12957,6963,5994,4497,1884,2613,6262,4867,1395,5861,4629,1232,17,13,4,13,7,6,173,74,99,5658,4535,1123,401,238,163,2,1,1,1,1,0,39,15,24,359,221,138,369,213,156,2,1,1,1,1,0,39,15,24,327,196,131,32,25,7,0,0,0,0,0,0,0,0,0,32,25,7,11192,3980,7212
77,3545,17270,8585,8685,1689,899,790,943,467,476,92,40,52,13898,7168,6730,3372,1417,1955,6674,4789,1885,6445,4662,1783,55,33,22,14,9,5,628,238,390,5748,4382,1366,229,127,102,10,4,6,5,2,3,19,3,16,195,118,77,202,107,95,10,4,6,4,1,3,12,2,10,176,100,76,27,20,7,0,0,0,1,1,0,7,1,6,19,18,1,10596,3796,6800
78,2993,14997,7506,7491,1498,756,742,1124,569,555,30,16,14,12422,6374,6048,2575,1132,1443,5216,4152,1064,4982,4018,964,10,7,3,14,11,3,250,145,105,4708,3855,853,234,134,100,4,2,2,3,2,1,40,16,24,187,114,73,198,110,88,4,2,2,3,2,1,31,12,19,160,94,66,36,24,12,0,0,0,0,0,0,9,4,5,27,20,7,9781,3354,6427
79,3065,13707,6909,6798,1134,634,500,169,80,89,93,54,39,11803,6087,5716,1904,822,1082,5262,4039,1223,5127,3962,1165,14,11,3,16,12,4,508,316,192,4589,3623,966,135,77,58,6,3,3,2,0,2,17,9,8,110,65,45,109,59,50,6,3,3,2,0,2,14,7,7,87,49,38,26,18,8,0,0,0,0,0,0,3,2,1,23,16,7,8445,2870,5575
80,3528,13647,6805,6842,832,438,394,145,73,72,17,11,6,12216,6209,6007,1431,596,835,5226,3611,1615,5076,3535,1541,15,11,4,6,4,2,191,115,76,4864,3405,1459,150,76,74,2,2,0,0,0,0,25,11,14,123,63,60,134,69,65,2,2,0,0,0,0,20,8,12,112,59,53,16,7,9,0,0,0,0,0,0,5,3,2,11,4,7,8421,3194,5227
81,3412,13271,6599,6672,913,462,451,2483,1184,1299,93,42,51,11195,5692,5503,2076,907,1169,5063,3495,1568,4884,3394,1490,19,15,4,12,9,3,141,85,56,4712,3285,1427,179,101,78,7,4,3,0,0,0,30,19,11,142,78,64,119,58,61,7,4,3,0,0,0,10,3,7,102,51,51,60,43,17,0,0,0,0,0,0,20,16,4,40,27,13,8208,3104,5104
82,3203,14026,6996,7030,1066,568,498,519,259,260,121,56,65,12011,6092,5919,2015,904,1111,5310,3791,1519,5099,3676,1423,28,26,2,24,20,4,171,93,78,4876,3537,1339,211,115,96,8,7,1,1,0,1,9,2,7,193,106,87,183,96,87,8,7,1,0,0,0,6,2,4,169,87,82,28,19,9,0,0,0,1,0,1,3,0,3,24,19,5,8716,3205,5511
83,2822,12547,6348,6199,1073,606,467,1523,754,769,123,65,58,10489,5380,5109,2058,968,1090,4657,3400,1257,4321,3223,1098,17,12,5,14,12,2,290,167,123,4000,3032,968,336,177,159,12,5,7,2,1,1,25,8,17,297,163,134,281,154,127,12,5,7,2,1,1,19,7,12,248,141,107,55,23,32,0,0,0,0,0,0,6,1,5,49,22,27,7890,2948,4942
84,3726,18332,9130,9202,1884,969,915,767,375,392,87,49,38,15106,7725,7381,3226,1405,1821,6675,4971,1704,6342,4796,1546,14,9,5,13,7,6,466,237,229,5849,4543,1306,333,175,158,15,6,9,0,0,0,80,18,62,238,151,87,291,154,137,15,6,9,0,0,0,63,13,50,213,135,78,42,21,21,0,0,0,0,0,0,17,5,12,25,16,9,11657,4159,7498
85,3132,15688,7779,7909,1661,852,809,3973,1893,2080,48,24,24,11902,6228,5674,3786,1551,2235,5840,4161,1679,5595,4018,1577,13,8,5,22,18,4,324,91,233,5236,3901,1335,245,143,102,6,4,2,1,0,1,31,8,23,207,131,76,222,130,92,6,4,2,0,0,0,28,7,21,188,119,69,23,13,10,0,0,0,1,0,1,3,1,2,19,12,7,9848,3618,6230
86,3671,18598,9128,9470,2403,1211,1192,4719,2220,2499,134,74,60,13482,6984,6498,5116,2144,2972,6766,4711,2055,6316,4462,1854,23,13,10,19,10,9,494,199,295,5780,4240,1540,450,249,201,23,12,11,2,1,1,58,17,41,367,219,148,405,224,181,23,12,11,2,1,1,54,17,37,326,194,132,45,25,20,0,0,0,0,0,0,4,0,4,41,25,16,11832,4417,7415
87,2808,14636,7402,7234,1843,945,898,2074,1033,1041,57,30,27,11015,5810,5205,3621,1592,2029,5344,4083,1261,5020,3893,1127,18,10,8,10,10,0,287,147,140,4705,3726,979,324,190,134,12,5,7,1,0,1,34,15,19,277,170,107,231,125,106,12,5,7,1,0,1,20,5,15,198,115,83,93,65,28,0,0,0,0,0,0,14,10,4,79,55,24,9292,3319,5973
88,3499,18491,9256,9235,2373,1208,1165,7899,3860,4039,21,11,10,13312,7152,6160,5179,2104,3075,6698,5010,1688,6449,4827,1622,17,14,3,22,15,7,203,110,93,6207,4688,1519,249,183,66,5,3,2,4,3,1,11,4,7,229,173,56,188,131,57,5,3,2,4,3,1,9,3,6,170,122,48,61,52,9,0,0,0,0,0,0,2,1,1,59,51,8,11793,4246,7547
89,5924,23689,11938,11751,2168,1140,1028,1748,886,862,205,103,102,20712,10572,10140,2977,1366,1611,9125,6767,2358,8827,6605,2222,40,29,11,34,23,11,232,164,68,8521,6389,2132,298,162,136,8,4,4,1,0,1,17,4,13,272,154,118,269,145,124,8,4,4,1,0,1,13,3,10,247,138,109,29,17,12,0,0,0,0,0,0,4,1,3,25,16,9,14564,5171,9393
90,4455,20519,10519,10000,2749,1470,1279,9153,4612,4541,252,130,122,14146,7816,6330,6373,2703,3670,7695,5723,1972,7384,5517,1867,16,10,6,37,26,11,257,145,112,7074,5336,1738,311,206,105,3,1,2,5,3,2,22,10,12,281,192,89,268,176,92,3,1,2,5,3,2,17,8,9,243,164,79,43,30,13,0,0,0,0,0,0,5,2,3,38,28,10,12824,4796,8028
91,5403,22367,11652,10715,2577,1394,1183,2098,1081,1017,115,65,50,18052,9677,8375,4315,1975,2340,8757,6573,2184,8466,6402,2064,55,41,14,40,20,20,379,219,160,7992,6122,1870,291,171,120,25,6,19,5,1,4,11,3,8,250,161,89,242,136,106,24,5,19,4,0,4,7,2,5,207,129,78,49,35,14,1,1,0,1,1,0,4,1,3,43,32,11,13610,5079,8531
