Ward,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
113,5061,21971,10627,11344,2007,1073,934,884,404,480,194,82,112,18744,9154,9590,3227,1473,1754,8566,6216,2350,7723,5838,1885,35,27,8,49,30,19,331,194,137,7308,5587,1721,843,378,465,14,8,6,2,1,1,97,21,76,730,348,382,808,362,446,14,8,6,2,1,1,93,20,73,699,333,366,35,16,19,0,0,0,0,0,0,4,1,3,31,15,16,13405,4411,8994
114,4281,17964,9497,8467,2104,1130,974,3104,1616,1488,368,203,165,13139,7313,5826,4825,2184,2641,7362,5144,2218,6688,4810,1878,7,5,2,28,15,13,171,74,97,6482,4716,1766,674,334,340,9,6,3,13,4,9,26,10,16,626,314,312,491,283,208,8,6,2,12,4,8,21,9,12,450,264,186,183,51,132,1,0,1,1,0,1,5,1,4,176,50,126,10602,4353,6249
115,3974,16330,8071,8259,1452,747,705,2487,1169,1318,93,47,46,13609,6880,6729,2721,1191,1530,6473,4350,2123,6130,4163,1967,28,26,2,23,17,6,314,147,167,5765,3973,1792,343,187,156,8,2,6,4,4,0,28,11,17,303,170,133,279,151,128,8,2,6,4,4,0,21,6,15,246,139,107,64,36,28,0,0,0,0,0,0,7,5,2,57,31,26,9857,3721,6136
116,3400,15033,7519,7514,1445,736,709,2013,969,1044,158,69,89,12301,6325,5976,2732,1194,1538,5929,4118,1811,5713,4000,1713,18,12,6,13,7,6,270,97,173,5412,3884,1528,216,118,98,6,2,4,3,2,1,9,1,8,198,113,85,179,101,78,6,2,4,3,2,1,4,1,3,166,96,70,37,17,20,0,0,0,0,0,0,5,0,5,32,17,15,9104,3401,5703
117,3624,16021,7961,8060,1202,651,551,553,289,264,54,20,34,14179,7042,7137,1842,919,923,6167,4519,1648,5770,4348,1422,27,18,9,13,9,4,218,118,100,5512,4203,1309,397,171,226,18,9,9,4,1,3,35,10,25,340,151,189,377,160,217,17,9,8,4,1,3,32,10,22,324,140,184,20,11,9,1,0,1,0,0,0,3,0,3,16,11,5,9854,3442,6412
118,4078,18923,9624,9299,2316,1203,1113,6987,3519,3468,89,44,45,12719,6966,5753,6204,2658,3546,7671,5229,2442,6985,4846,2139,55,25,30,21,13,8,252,146,106,6657,4662,1995,686,383,303,21,10,11,8,5,3,37,14,23,620,354,266,633,352,281,21,10,11,8,5,3,33,13,20,571,324,247,53,31,22,0,0,0,0,0,0,4,1,3,49,30,19,11252,4395,6857
119,4992,22201,11354,10847,2090,1091,999,1700,876,824,219,117,102,18769,9683,9086,3432,1671,1761,8283,6357,1926,7935,6162,1773,29,19,10,20,18,2,129,57,72,7757,6068,1689,348,195,153,20,12,8,1,1,0,9,1,8,318,181,137,298,161,137,20,12,8,1,1,0,7,1,6,270,147,123,50,34,16,0,0,0,0,0,0,2,0,2,48,34,14,13918,4997,8921
120,5898,25014,12896,12118,3167,1667,1500,2221,1162,1059,246,128,118,19171,10262,8909,5843,2634,3209,9352,7021,2331,8793,6721,2072,46,27,19,33,20,13,298,146,152,8416,6528,1888,559,300,259,18,9,9,11,6,5,37,12,25,493,273,220,500,259,241,18,9,9,11,6,5,27,8,19,444,236,208,59,41,18,0,0,0,0,0,0,10,4,6,49,37,12,15662,5875,9787
121,9022,34937,17372,17565,3605,1833,1772,3516,1762,1754,293,162,131,29103,14502,14601,5834,2870,2964,13278,9249,4029,12809,8997,3812,41,19,22,44,29,15,158,106,52,12566,8843,3723,469,252,217,19,9,10,1,0,1,11,5,6,438,238,200,388,198,190,19,9,10,1,0,1,6,2,4,362,187,175,81,54,27,0,0,0,0,0,0,5,3,2,76,51,25,21659,8123,13536
122,10258,49363,25670,23693,7352,3799,3553,1782,916,866,197,103,94,36921,19661,17260,12442,6009,6433,16489,13448,3041,15376,12838,2538,43,29,14,48,27,21,293,142,151,14992,12640,2352,1113,610,503,27,15,12,6,3,3,47,22,25,1033,570,463,1004,541,463,27,15,12,6,3,3,30,12,18,941,511,430,109,69,40,0,0,0,0,0,0,17,10,7,92,59,33,32874,12222,20652
